clean_prefix,corrupt_prefix,patient,clean_verb,corrupt_verb,uid,domain
The warehouse was inspected by the,The warehouse was battered by the,warehouse,inspected,battered,220b9247ac7048e5bba4cca174c8e011,Physical Structures
The backup was indexed by the,The backup was deleted by the,backup,indexed,deleted,f3c01ff8f2904c21bcbeff9fbc847a49,Information Resources
The draft was archived by the,The draft was corrupted by the,draft,archived,corrupted,d318fb5a29b4404c8b5b5bedf69b8c3e,Academic Scientific Frame
The dress was washed by the,The dress was faded by the,dress,washed,faded,4cb2f901cb574127b2f54f8117902b14,Textile Garment Frame
The script was verified by the,The script was erased by the,script,verified,erased,db8de8eca139403cbc8816ee6a1e40a2,Information Resources
The savings was allocated by the,The savings was exhausted by the,savings,allocated,exhausted,f8d2f8ae451340188f5e7277167ccbad,Financial Economic Frame
The roast was cooked by the,The roast was burned by the,roast,cooked,burned,f7e1c8296cc545a583cf7bfa6b2d06f0,Culinary Frame
The soldier was questioned by the,The soldier was trapped by the,soldier,questioned,trapped,bf335687ddd844389310244309d42a2b,Humans as Physical Entities
The grant was managed by the,The grant was exhausted by the,grant,managed,exhausted,68306e905ee24a96836f825ee608a5a1,Financial Economic Frame
The filing was amended by the,The filing was erased by the,filing,amended,erased,e30e97c1fcad4dc0ab3ed1ded3ba8037,Legal Administrative Frame
The chapter was validated by the,The chapter was delayed by the,chapter,validated,delayed,56d7a0a5d8da44e9a7f9c471719c593c,Academic Scientific Frame
The article was archived by the,The article was delayed by the,article,archived,delayed,475ea162270449bead93954aca02fc35,Academic Scientific Frame
The filing was authorized by the,The filing was damaged by the,filing,authorized,damaged,8c9f8299dce24fdd8ee11217601e3d0d,Legal Administrative Frame
The library was maintained by the,The library was battered by the,library,maintained,battered,9946a78ab69143139377cc35105fe1f7,Physical Structures
The truck was designed by the,The truck was buried by the,truck,designed,buried,936e134d293f4936a28ee6527ce47591,Vehicles and Conveyances
The filing was processed by the,The filing was soaked by the,filing,processed,soaked,490a141a86034212af43a304ced50fad,Legal Administrative Frame
The chapter was reviewed by the,The chapter was erased by the,chapter,reviewed,erased,8adc928b6cfe48d5a9de3d874b909161,Academic Scientific Frame
The spreadsheet was reviewed by the,The spreadsheet was corrupted by the,spreadsheet,reviewed,corrupted,e9c49a520e8a4e4aae990c89feb5f87d,Information Resources
The flower was trimmed by the,The flower was flattened by the,flower,trimmed,flattened,e3981b4717b44a4fab7bba44e7bc24a1,Biological Organisms
The vine was inspected by the,The vine was choked by the,vine,inspected,choked,ca5a91b6bbf64c2285a94dbfaeae2a70,Biological Organisms
The banner was packed by the,The banner was faded by the,banner,packed,faded,99a56960adec4a4caf2d5b8f4c85ae84,Textile Garment Frame
The image was downloaded by the,The image was damaged by the,image,downloaded,damaged,f8e825fb3a2b420884766b4cf59e9e87,Information Resources
The terminal was monitored by the,The terminal was buried by the,terminal,monitored,buried,afb86546dce44eaa8441211859f61a38,Physical Structures
The helicopter was designed by the,The helicopter was crushed by the,helicopter,designed,crushed,808cab0ab3954d1cb05af61c18023092,Vehicles and Conveyances
The chili was seasoned by the,The chili was contaminated by the,chili,seasoned,contaminated,499b10c8dee7486f884f205246d71551,Culinary Frame
The article was reviewed by the,The article was obscured by the,article,reviewed,obscured,cb8a56254d5e453b87392d06b96a84e8,Academic Scientific Frame
The appendix was revised by the,The appendix was damaged by the,appendix,revised,damaged,814e967b34b64048b01323ec69f4d043,Academic Scientific Frame
The income was managed by the,The income was constrained by the,income,managed,constrained,6fc57c5dddc7442ead4525e1569364d3,Financial Economic Frame
The stuffing was prepared by the,The stuffing was contaminated by the,stuffing,prepared,contaminated,61f71922d1904f47b60a39501cf09332,Culinary Frame
The summary was archived by the,The summary was obscured by the,summary,archived,obscured,006574593f4f45e2add50822c67ada25,Academic Scientific Frame
The filing was drafted by the,The filing was blocked by the,filing,drafted,blocked,1c4f0b8551e94d5783383b918551820a,Legal Administrative Frame
The thesis was published by the,The thesis was damaged by the,thesis,published,damaged,07e509e2089740c4a51822a085a71ac9,Academic Scientific Frame
The stew was served by the,The stew was contaminated by the,stew,served,contaminated,5e347657be574688986f67fab2237527,Culinary Frame
The terminal was financed by the,The terminal was blocked by the,terminal,financed,blocked,c42ae9681fae425cb213149113eb1281,Physical Structures
The allowance was allocated by the,The allowance was constrained by the,allowance,allocated,constrained,ea452ae28dc449e89c314fda79d236da,Financial Economic Frame
The car was driven by the,The car was overturned by the,car,driven,overturned,904a36d161514678b5b4f3c7a15e15e9,Vehicles and Conveyances
The valuation was approved by the,The valuation was distorted by the,valuation,approved,distorted,b9ad8767cf1646dda39f39b9c0623f7f,Financial Economic Frame
The transcript was archived by the,The transcript was distorted by the,transcript,archived,distorted,64763d75087b435c9cf47727abcd397a,Information Resources
The teacher was arrested by the,The teacher was struck by the,teacher,arrested,struck,ace0a54630c44ee3bfdcfa64ee732171,Humans as Physical Entities
The tree was inspected by the,The tree was flattened by the,tree,inspected,flattened,fb00152d137244a1a752724c29b91306,Biological Organisms
The stew was seasoned by the,The stew was spoiled by the,stew,seasoned,spoiled,7e7688c087904093ad91bc607bed3fef,Culinary Frame
The warehouse was renovated by the,The warehouse was blocked by the,warehouse,renovated,blocked,1562ff6626394c508a821a477a79ce2e,Physical Structures
The farmer was rescued by the,The farmer was blinded by the,farmer,rescued,blinded,462ba9f0fdfe4658aa7e806f7f0febdb,Humans as Physical Entities
The summary was published by the,The summary was scrambled by the,summary,published,scrambled,3fbcb0b8bafb4594b4db7600b712e443,Academic Scientific Frame
The profit was protected by the,The profit was constrained by the,profit,protected,constrained,c4bde7323f66431d98b806fdad47d7e4,Financial Economic Frame
The income was reported by the,The income was constrained by the,income,reported,constrained,2cad6287edb84b1983a2d864553ed93c,Financial Economic Frame
The subsidy was adjusted by the,The subsidy was constrained by the,subsidy,adjusted,constrained,ef51e44493c44281996ef459ce6b74af,Financial Economic Frame
The budget was reported by the,The budget was drained by the,budget,reported,drained,c01aa75d3e0c4ecc9dc8dd91e004b612,Financial Economic Frame
The canoe was purchased by the,The canoe was damaged by the,canoe,purchased,damaged,35d33aa0dce74f8fb416e92918048db9,Vehicles and Conveyances
The subpoena was amended by the,The subpoena was blocked by the,subpoena,amended,blocked,244e3e2ca09c4e69b1107090fa891893,Legal Administrative Frame
The child was treated by the,The child was burned by the,child,treated,burned,cf8965f9245c42bca0ef56a5a219f5ec,Humans as Physical Entities
The bush was trimmed by the,The bush was frozen by the,bush,trimmed,frozen,ffa0e9018fba42a9a9be1badd1669d1f,Biological Organisms
The subsidy was approved by the,The subsidy was depleted by the,subsidy,approved,depleted,bca9387056ee41eeb55a6bb748ae1dad,Financial Economic Frame
The permit was amended by the,The permit was shredded by the,permit,amended,shredded,3120eb7247174a678ee05d1db228e4bc,Legal Administrative Frame
The shirt was washed by the,The shirt was faded by the,shirt,washed,faded,ff13b8c8b22c48cf83fa6587ff47589e,Textile Garment Frame
The archive was translated by the,The archive was delayed by the,archive,translated,delayed,70775341b9d84bd7b3d90d329dac055f,Academic Scientific Frame
The child was protected by the,The child was blinded by the,child,protected,blinded,a330e56118174e4894417deca121e841,Humans as Physical Entities
The audio was shared by the,The audio was scrambled by the,audio,shared,scrambled,a14a962731ba4c13ba47134505b56a38,Information Resources
The savings was allocated by the,The savings was constrained by the,savings,allocated,constrained,475775a92c054912b90276d5174dc24d,Financial Economic Frame
The shirt was tailored by the,The shirt was soaked by the,shirt,tailored,soaked,9f950608b7ed427890836076b20c8898,Textile Garment Frame
The bridge was planned by the,The bridge was flooded by the,bridge,planned,flooded,59f8bad9454b4453a2a2ce923ff5c2dc,Physical Structures
The car was loaded by the,The car was crushed by the,car,loaded,crushed,566a110f9827465aa9a23da8b46b13b4,Vehicles and Conveyances
The tunnel was renovated by the,The tunnel was buried by the,tunnel,renovated,buried,ef84116ecb5547bfa1592f188a85a2e2,Physical Structures
The permit was amended by the,The permit was delayed by the,permit,amended,delayed,a9629ea7ebd54df4b30a0b79269fbf8f,Legal Administrative Frame
The record was shared by the,The record was erased by the,record,shared,erased,82ca13f8d64443b3aeec87e686e4770c,Information Resources
The shirt was tailored by the,The shirt was faded by the,shirt,tailored,faded,6cd2aafbec6e424a9cccaab616a1a881,Textile Garment Frame
The fund was protected by the,The fund was distorted by the,fund,protected,distorted,c556dfdac065468791b63dd917b2ef09,Financial Economic Frame
The hedge was trimmed by the,The hedge was flattened by the,hedge,trimmed,flattened,e72b1a7b2b0f48688ba5b4405cc667d0,Biological Organisms
The survey was revised by the,The survey was distorted by the,survey,revised,distorted,cae446b781a742e6b82f8159566350d8,Academic Scientific Frame
The balance was reported by the,The balance was exhausted by the,balance,reported,exhausted,2a4df1c3299c495887b5452bac0993b6,Financial Economic Frame
The dataset was archived by the,The dataset was erased by the,dataset,archived,erased,9c7b55b83af2443e8d43e785ba33d0f7,Information Resources
The teacher was assisted by the,The teacher was struck by the,teacher,assisted,struck,5f6828987079481d941c44fc93830e81,Humans as Physical Entities
The helicopter was inspected by the,The helicopter was destroyed by the,helicopter,inspected,destroyed,370c2a1dae1d4254a2290d483bf94cdf,Vehicles and Conveyances
The pedestrian was treated by the,The pedestrian was buried by the,pedestrian,treated,buried,560c87637cb846469afaab25d93b918d,Humans as Physical Entities
The appendix was validated by the,The appendix was distorted by the,appendix,validated,distorted,aa95d028c94b4bcf8077f3629330d5a2,Academic Scientific Frame
The treasury was reviewed by the,The treasury was constrained by the,treasury,reviewed,constrained,69460acaa26140c1aa2ab11e6828f0d0,Financial Economic Frame
The tunnel was inspected by the,The tunnel was blocked by the,tunnel,inspected,blocked,072c4d8645b24709b1f7f55e7dffabb8,Physical Structures
The grant was allocated by the,The grant was drained by the,grant,allocated,drained,3db05851679a4a7a89d19729a47ced26,Financial Economic Frame
The tunnel was designed by the,The tunnel was buried by the,tunnel,designed,buried,4eabfde338964995a1e77f708b8abf61,Physical Structures
The gravy was seasoned by the,The gravy was contaminated by the,gravy,seasoned,contaminated,71efb53c526d48dbbe1b3eb7b942984c,Culinary Frame
The submarine was designed by the,The submarine was shaken by the,submarine,designed,shaken,94b125d1da63431fb14bc47ba4496bf2,Vehicles and Conveyances
The girl was examined by the,The girl was struck by the,girl,examined,struck,531ad0293e3d4a6b979e7c20427b003a,Humans as Physical Entities
The boat was repaired by the,The boat was buried by the,boat,repaired,buried,c3c2364f94264d3f9a312accad3c5580,Vehicles and Conveyances
The profile was archived by the,The profile was encrypted by the,profile,archived,encrypted,b757cd98ecc141d0b750795d470a0319,Information Resources
The cyclist was protected by the,The cyclist was blinded by the,cyclist,protected,blinded,d49ef8330e2040db91169908329e0532,Humans as Physical Entities
The van was loaded by the,The van was crushed by the,van,loaded,crushed,95f8efd734f541d99f7e79424f65ad0b,Vehicles and Conveyances
The house was maintained by the,The house was shaken by the,house,maintained,shaken,e9114187a779427d92d11fee0ff73a5c,Physical Structures
The reserve was monitored by the,The reserve was exhausted by the,reserve,monitored,exhausted,0d31d17122924b248dbaabdddb853ccc,Financial Economic Frame
The dress was packed by the,The dress was soaked by the,dress,packed,soaked,c698e95318e64531adb9d9c435406b32,Textile Garment Frame
The road was designed by the,The road was flooded by the,road,designed,flooded,ad67aff1ad7042e3bc30327ac21ee92c,Physical Structures
The canoe was inspected by the,The canoe was stranded by the,canoe,inspected,stranded,70bd8a57ce684f54b0accf92c47c3f46,Vehicles and Conveyances
The tram was painted by the,The tram was crushed by the,tram,painted,crushed,475b7f9b92b44ba68be142a751c8f554,Vehicles and Conveyances
The farmer was questioned by the,The farmer was trapped by the,farmer,questioned,trapped,8aacffb17b814952affa613350f7e4c2,Humans as Physical Entities
The canoe was repaired by the,The canoe was shaken by the,canoe,repaired,shaken,07e50524d1bf4dfea6a0c36e5f5db09b,Vehicles and Conveyances
The warrant was processed by the,The warrant was damaged by the,warrant,processed,damaged,c116714db2ba4d6595f94ca4514e3748,Legal Administrative Frame
The terminal was renovated by the,The terminal was buried by the,terminal,renovated,buried,e97025c82d5e41ff949312784780d7e0,Physical Structures
The tram was loaded by the,The tram was destroyed by the,tram,loaded,destroyed,591f2f2b7d9f4145a13c76906cb50356,Vehicles and Conveyances
The station was designed by the,The station was damaged by the,station,designed,damaged,1db97fe0aa314c96b29532fcfff2d76f,Physical Structures
The chapter was analyzed by the,The chapter was damaged by the,chapter,analyzed,damaged,bc25ac89881649c39edd3f1869998cc7,Academic Scientific Frame
The filing was approved by the,The filing was buried by the,filing,approved,buried,8486ff1fac56435fb984a5263de2ed76,Legal Administrative Frame
The archive was edited by the,The archive was distorted by the,archive,edited,distorted,67c93828a1b44299b9c70c620143c714,Information Resources
The archive was revised by the,The archive was obscured by the,archive,revised,obscured,04eaf0096ed34fd9b7ee7adf674dbbc0,Academic Scientific Frame
The manuscript was edited by the,The manuscript was compressed by the,manuscript,edited,compressed,b832442f548746e9a1fe47280c1bc8b4,Information Resources
The manuscript was published by the,The manuscript was damaged by the,manuscript,published,damaged,f87c17240ab3464f929346a3e75e6adb,Academic Scientific Frame
The program was indexed by the,The program was encrypted by the,program,indexed,encrypted,e916703bf14e4fc88705fbd1510276d5,Information Resources
The harbor was inspected by the,The harbor was battered by the,harbor,inspected,battered,1e749a57886a483cb1f2f974240a46af,Physical Structures
The manuscript was uploaded by the,The manuscript was deleted by the,manuscript,uploaded,deleted,8dd2053469594bddae96c74eea3c7e19,Information Resources
The boat was purchased by the,The boat was flooded by the,boat,purchased,flooded,6587f3f6ad594299a7eb400c68d11251,Vehicles and Conveyances
The revenue was allocated by the,The revenue was disrupted by the,revenue,allocated,disrupted,67cc74969b5842fa91de3777efb7a44d,Financial Economic Frame
The glove was packed by the,The glove was shredded by the,glove,packed,shredded,df06d69027904ff7a037b944b4aa464a,Textile Garment Frame
The soldier was treated by the,The soldier was trapped by the,soldier,treated,trapped,e69ffd0d2ca94ab5a958bb1fac1b9c76,Humans as Physical Entities
The archive was reviewed by the,The archive was damaged by the,archive,reviewed,damaged,87be4d5d170e42e3ae267c495887ceca,Information Resources
The ship was inspected by the,The ship was flooded by the,ship,inspected,flooded,d5649f21322e4e208645c8495f5aa74c,Vehicles and Conveyances
The revenue was protected by the,The revenue was exhausted by the,revenue,protected,exhausted,c64386afca204742bccfe9a58f08a30d,Financial Economic Frame
The allowance was protected by the,The allowance was drained by the,allowance,protected,drained,a3a4741df3994fa798a90eff0cbcefac,Financial Economic Frame
The transcript was edited by the,The transcript was deleted by the,transcript,edited,deleted,4a6e75cc53344593b612b2dcace5fa6e,Information Resources
The robe was tailored by the,The robe was faded by the,robe,tailored,faded,67f83495d37b470f929d9629e3f57aea,Textile Garment Frame
The deed was processed by the,The deed was lost by the,deed,processed,lost,69e2a395d4564ccbb219f116f1ad280a,Legal Administrative Frame
The document was archived by the,The document was corrupted by the,document,archived,corrupted,12a57f2ef7234cf195f24b663c9c0938,Information Resources
The library was designed by the,The library was shaken by the,library,designed,shaken,384ab45f74f24b22817834b3f8f38f88,Physical Structures
The protocol was analyzed by the,The protocol was delayed by the,protocol,analyzed,delayed,c857b96e595342aabb269b1252de3d73,Academic Scientific Frame
The license was reviewed by the,The license was erased by the,license,reviewed,erased,c7a762c37df348ccbaa5ee4bdb4b6376,Legal Administrative Frame
The file was downloaded by the,The file was distorted by the,file,downloaded,distorted,e5ef22197b8a47fb98c1ad170eaa165f,Information Resources
The video was reviewed by the,The video was scrambled by the,video,reviewed,scrambled,b2e3413f35934c1fb9a70505ae64919c,Information Resources
The tractor was painted by the,The tractor was overturned by the,tractor,painted,overturned,51dce8d64fd145b9993724034ace4375,Vehicles and Conveyances
The cyclist was identified by the,The cyclist was trapped by the,cyclist,identified,trapped,d694ab8acfad4a5a84c24fca360050d5,Humans as Physical Entities
The image was archived by the,The image was compressed by the,image,archived,compressed,49105e1c29104bfe942a517e9f09357f,Information Resources
The ship was loaded by the,The ship was blocked by the,ship,loaded,blocked,b6c7f2a8cddf4bb09cda96733b89de72,Vehicles and Conveyances
The valuation was adjusted by the,The valuation was reduced by the,valuation,adjusted,reduced,65af2ad995fe400c8620e89713a6df74,Financial Economic Frame
The robe was tailored by the,The robe was shredded by the,robe,tailored,shredded,41310527a8394a42ade6102e5e2eb330,Textile Garment Frame
The policy was filed by the,The policy was shredded by the,policy,filed,shredded,b9b6984c4cb84ffc8d8019879d02de8b,Legal Administrative Frame
The motorcycle was painted by the,The motorcycle was destroyed by the,motorcycle,painted,destroyed,941012f3db2049b98112e17a7c475d83,Vehicles and Conveyances
The teacher was identified by the,The teacher was struck by the,teacher,identified,struck,064cde2cec7241f3926e8e593413927e,Humans as Physical Entities
The warrant was reviewed by the,The warrant was blocked by the,warrant,reviewed,blocked,daf87719ca654ace9b704dfc93d931f5,Legal Administrative Frame
The document was edited by the,The document was compressed by the,document,edited,compressed,2c8ded1c0a3d461c80921d095aa2f5aa,Information Resources
